id,tytul,autor,ilosc,kategoria
42,"Tajniki zuchowej metaloplastyki","",3,"Metodyka zuchowa"
43,"W drużynie zuchów cz. 3","Krystyna Łenyk, Jerzy Majka",1,"Metodyka zuchowa"
44,"Indywidualny rozwój zucha","Joanna Gonia",2,"Metodyka zuchowa"
45,"Zuchowe pożarnictwo","Kazimierz Wnętrzycki",1,"Metodyka zuchowa"
46,"Zuchowe majsterki","Leszek i Henryka Abrahamowicz",2,"Metodyka zuchowa"
47,"Obrzędowość na kolonii zuchowej","Stefan Wojtkiewicz",1,"Metodyka zuchowa"
48,"Prawo zucha - kolorowanka","",3,"Metodyka zuchowa"
49,"Gry i zabawy","Stefan Słysz",1,"Metodyka zuchowa"
50,"Zuchowe kolonie","Marek Ćwiakowski",1,"Metodyka zuchowa"
51,"Zbiór instrukcji i regulaminów - zuchy","Główna Kwatera",1,"Metodyka zuchowa"
52,"Zuchowe malowanki i rysowanki","Stefan Wojtkiewicz",1,"Metodyka zuchowa"
53,"Robinson - materiały do zbiórek","Adam Kiewicz, Beata Kowalska",7,"Metodyka zuchowa"
54,"Pancerni - materiały do zbiórek","Adam Kiewicz, Beata Kowalska",4,"Metodyka zuchowa"
55,"Eskimos - materiały do zbiórek","Adam Kiewicz, Beata Kowalska",5,"Metodyka zuchowa"
56,"ABC majsterki","Czesław Kremasz",2,"Metodyka zuchowa"
57,"Regulamin sprawności zuchowych (1979)","Danuta Piechocka",1,"Metodyka zuchowa"
58,"Vademecum dla referatów zuchowych, zuchy w Chorągwii harcerzy","Wydawnictwo Drogowskazów",1,"Metodyka zuchowa"
59,"Jak uczyć zuchy śpiewania","Kamila Kozłowska",4,"Metodyka zuchowa"
60,"Zuchy w terenie","Iwona Iskra",2,"Metodyka zuchowa"
61,"Musztra zuchowa","Małgorzata Silny",4,"Metodyka zuchowa"
62,"Poradnik zucha","Agnieszka Łaskarzewska",2,"Metodyka zuchowa"
63,"Ćwicz sprawność zmysłów","Stanisław Hladek",2,"Metodyka zuchowa"
64,"Opowiadania zuchowe (ZHR)","Jadwiga Zwolakowska",1,"Metodyka zuchowa"
65,"Zuchowa książka kucharska","Maja Paluszńska",1,"Metodyka zuchowa"
66,"Pląsaczek","Główna Kwatera",3,"Metodyka zuchowa"
67,"Pierwsze zbiórki w nowo założonej drużynie zuchowej","B. Kowalska",5,"Metodyka zuchowa"
68,"Tam gdzie mieszka muzyka","Agnieszka Olejniczyk",1,"Metodyka zuchowa"
69,"Zabawa zuchowa w teatr","Młodzieżowa Agencja Wydawnicza",6,"Metodyka zuchowa"
70,"Drużyna i ja","W. Grzelak, P. Rządca",5,"Metodyka harcerska"
71,"Uczestnicząc w grze","Emilia Kulczyk-Prus, Marta Wrzosek",4,"Metodyka harcerska"
72,"Najtrudniejszy pierwszy rok","Jolanta Chełstowska",9,"Metodyka harcerska"
73,"Nauczanie i wychowanie metodą harcerską","Aleksander Kamiński",1,"Metodyka harcerska"
74,"Sekrety dobrej drużyny","Jadwiga Burska",3,"Metodyka harcerska"
75,"Stopnie i sprawmności harcerskie (2014-16)","Główna Kwatera",12,"Metodyka harcerska"
76,"Stopnie i sprawmności harcerskie (1994-96)","Główna Kwatera",4,"Metodyka harcerska"
77,"Stosowanie metody harcerskiej w drużynie harcerzy (ZHR)","Marek Kamecki",2,"Metodyka harcerska"
78,"Sport w szczepie, drużynie, zastępie","Tadeusz Maszczak",1,"Metodyka harcerska"
79,"Jak prowadzić drużynę harcerską","hm. Władysław Szczygieł",5,"Metodyka harcerska"
80,"Harcerski poradnik ilustrowany","Wojciech Śliwerski",3,Poradniki
81,"Ognisko Harcerskie","hm. Zbigniew Buława",3,"Metodyka harcerska"
82,Harcerenada,"Zygmunt Morawski",3,"Metodyka harcerska"
83,"Harcerska na zwiadach","Józefina Łapińska",4,"Metodyka harcerska"
84,"Mały poradnik drużynowego","Zbigniew Rządkowski",4,"Metodyka harcerska"
85,"Poradnik Harcerza","Tadeusz Wyrwalski",2,Poradniki
86,"Książka pracy drużyny",Horyzonty,4,"Metodyka harcerska"
87,"Gawędy o prawie harcerskim","Marta Brulikowska-Polit",1,"Metodyka harcerska"
88,"Harce młodzika i wywiadowcy","Antoni Gromski",1,"Metodyka harcerska"
89,"Gry i zabawy w drużynie harcerskiej","Marcin Wlaczak ps. Czaku",2,"Metodyka harcerska"
90,"Instrukcja organizacyjna Harcerskiej Akcji Letniej","Główna Kwatera",1,"Obóz i kolonia"
91,"Planowanie pracy drużyny harcerskiej ","Grzegorz Całek",5,"Metodyka harcerska"
92,"Gotowanie na polanie","Anna Brejwo",4,"Metodyka harcerska"
93,"Ekslibrisy harcerskie","Józef Tadeusz Czosnyka",1,"Metodyka harcerska"
94,"Harcerze i harcerki - zarys metodyki","Anita Regócka - Kwaśnik",6,"Metodyka harcerska"
95,"Harcerskie symbole","Marina Miszczuk",1,"Metodyka harcerska"
96,"Harcerskie ABC... czyli co każdy harcerz powinien wiedzieć","KDHiZ Jarosławiec",13,"Metodyka harcerska"
97,"Harcerskie biegi","Wojciech Śliwerski",5,"Metodyka harcerska"
98,"Próba harcerza - ochotnik (1997)",-,4,"Metodyka harcerska"
99,"Gry i ćwiczenia terenowe","Ryszard Mańkowski",4,"Specjalności i techniki harcerskie"
100,"100 pomysłów na bieg harcerski","Grzegorz Całek",3,"Metodyka harcerska"
101,"Jak pracują drużyny wiejskie","Zofia Banaszkiewicz",1,"Metodyka harcerska"
102,"Komputer w drużynie harcerskiej","Grzegorz Całek",3,"Metodyka harcerska"
103,"Harcerskie Symbole","Marian Miszczuk",2,"Metodyka harcerska"
104,"Ochotnicy (1962)","Główna Kwatera",1,"Metodyka harcerska"
105,"ABC pracy z historią w drużynie harcerskiej","Piotr Płaczek",6,"Metodyka harcerska"
106,"Harcerskie ideały","Maria Hrabowska",1,"Metodyka harcerska"
107,"Vademecum drużynowego",Warszawa,3,"Metodyka harcerska"
108,"Harcerskie vademecum","Harcerski zespół wydawniczy",1,"Metodyka harcerska"
109,"Czym są sprawności","Jadwiga Falkowska",1,"Metodyka harcerska"
110,"Vademecum drużynowego harcerskiego cz1.","Główna Kwatera",4,"Metodyka harcerska"
111,"Vademecum drużynowego harcerskiego cz2.","Główna Kwatera",6,"Metodyka harcerska"
112,"Wskazówka dla scoutmistrzów","Robert Baden-Powell",1,"Metodyka harcerska"
113,"Książka finansowa drużyny, szczepu",Horyzonty,1,"Metodyka harcerska"
114,"Rozwój idei puszczańskiej w skautingu 1902-1939","Tadeusz Wyrwalski",4,"Metodyka harcerska"
115,"O prawie harcerskim przy ognisku ","Wojciech Hausner",1,"Metodyka harcerska"
116,"Sprawności harcerskie, odznaki, stopnie","Główna Kwatera",1,"Metodyka harcerska"
117,"Metodyka w pracy z zespołem harcerskim","J. Burska, K. Jaskot, M. Zorn",1,"Metodyka harcerska"
118,"Regulamin musztry służby wewnętrznej i wartowniczej (1994)","Chorągiew Katowicka",1,Instruktorzy
119,"Regulamin musztry służby wewnętrznej i wartowniczej (1981)","Młodzieżowa Agencja Wydawnicza",1,"Metodyka harcerska"
120,"Jak rada radzi","Bogusław Śliwerski",1,"Metodyka harcerska"
121,"Co robić w drużynie starszoharcerskiej","Przemysław Wójcik",1,"Metodyka starszoharcerska"
122,"Zielona drużyna - poradnik dla drużyn wędrowniczych i starszoharcerski","Aldona Kasza",1,"Metodyka starszoharcerska"
123,"W kręgu drużynowych starszoharcerskich","Piotr Niwiński",12,"Metodyka starszoharcerska"
124,"Zbiór instrukcji i regulaminów - harcerze starsi (1988)","Młodzieżowa Agencja Wydawnicza",2,"Metodyka starszoharcerska"
125,"Harcerzom starszytm pod rozwagę część II","Młodzieżowa Agencja Wydawnicza",1,"Metodyka starszoharcerska"
126,"Własne oblicze - Gawędy, wskazówki metodyczne ","hm. PL R. Wojciechowski",2,"Metodyka starszoharcerska"
127,"W kręgu zastępu starszoharcerskiego ","Piotr Niwiński",2,"Metodyka starszoharcerska"
128,"Starszoharcerskie próby życia","Stefan Marek Wajda",3,"Metodyka starszoharcerska"
129,"W szczepie starszoharcerskim","Stefan Marek Wajda",1,"Metodyka starszoharcerska"
130,"Poradnik organizatora kursu drużynowych starszoharcerskich","Małgorzata Arendt",2,"Metodyka starszoharcerska"
131,"Natarcie na I, od A do Z (1965)","Główna Kwatera",1,"Metodyka starszoharcerska"
132,"Harcerki i harcerze starsi, zarys metodyki","Ewa Gąsiorowska, Anna Głowacka i inni",3,"Metodyka starszoharcerska"
133,"Jak pracują wędrownicy (ZHR)","Bronisław Pancewicz",1,"Metodyka wędrownicza"
134,"Wędrownicze Abecadło, czyli rzecz o metodzie wędrowniczej","Krzysztof Sikora",1,"Metodyka wędrownicza"
135,"Starszoharcerskie znaki służb","Krzysztof Sikora",6,"Metodyka wędrownicza"
136,"Jak orzeł leć...","Jarosław Balon",5,"Metodyka wędrownicza"
137,"Wędrowniczy Tryptyk","Krzysztof Sikora",1,"Metodyka wędrownicza"
138,"Wędrowniczki i wędrownicy, zarys metodyki","Główna Kwatera",1,"Metodyka wędrownicza"
139,"Wędrownictwo","Monika Radek",2,"Metodyka wędrownicza"
140,"133 rady dla drużynowego wędrowniczego","Kurs Drużynowych Wędka 2006",3,"Metodyka wędrownicza"
141,"Obozy wędrowne","Tadeusz Łobożewicz",1,"Metodyka wędrownicza"
142,"Jak prowadzić zastęp harcerski","hm. dr. Władysław Szczygieł",2,"Zastępowi"
143,"System zastępowy","Roland E. Philips",8,"Zastępowi"
144,"Skarbczyk zastępowego","Chorągiew Łódzka",14,"Zastępowi"
145,"Jak być zastępowym","Bogusław i Wojciech Świderscy",7,"Zastępowi"
146,"Biwakowa kuchnia - biblioteczka zastępowego nr4","M. Kurowski, J. Pytlak",9,"Zastępowi"
147,"Ekologia w pigułce","Aleksandra Jarmakowska-Jasiczek",2,"Zastępowi"
148,"Notatnik iki - Biblioteczka zastępowego nr3","Jolanta Chełstowska",12,"Zastępowi"
149,"Wyspa Robinsona - biblioteczka zastępowego nr2","Jan Stykowski",1,"Zastępowi"
150,"Andrzejkowy wieczór - biblioteczka zastepowego nr1","Wojciech Śliwerski",3,"Zastępowi"
151,"Twój zastęp","Jolanta Chełstowska",3,"Zastępowi"
152,"Co każdy zastępowy wiedzieć powinien?","Główna Kwatera",10,"Zastępowi"
153,"Vademecum zastępowego","Marek Kłodasiewicz",3,"Zastępowi"
154,"Notatnik - poradnik zastępowego NAL","Andrzej Pieniak",4,"Zastępowi"
155,"Nieobozowe lato - poradnik zastępowego","Główna Kwatera",7,"Zastępowi"
156,"Obóz brązowych sznurów","Główna Kwatera",3,"Zastępowi"
157,"Opowieści zastępowego","Bogdan Wartnikowski",5,"Zastępowi"
158,"Zastęp - zbiórka! Lato","Jan Stykowski",6,"Zastępowi"
159,"Zastęp - zbiórka! Wiosna","Jan Stykowski",4,"Zastępowi"
160,"Zastęp - zbiórka! Zima","Jan Stykowski",3,"Zastępowi"
161,"Zastęp - zbiórka! Jesień","Jan Stykowski",6,"Zastępowi"
162,"Śnieżnobiały uśmiech część II. Powrót czarownicy próchnicy","Wydział zuchowy GK",2,"Gry i zabawy"
163,"Każde dziecko to potrafi - gry i zabawy z całego świata","Wydawnictwo Delta",1,"Gry i zabawy"
164,"Każde dziecko to potrafi cz1","Wydawnictwo Delta",2,"Gry i zabawy"
165,"Każdy to potrafi - młody majsterkowicz","Wydawnictwo Delta",1,"Gry i zabawy"
166,"Każde dziecko to potrafi - robótki na adwent i Boże Narodzenie","Wydawnictwo Delta",2,"Gry i zabawy"
167,Mandala,"Sascha Wuillemet",1,"Gry i zabawy"
168,"Każde dziecko to potrafi cz2","Wydawnictwo Delta",2,"Gry i zabawy"
169,"Każde dziecko to potrafi cz4","Wydawnictwo Delta",1,"Gry i zabawy"
170,"Każde dziecko to potrafi cz6","Wydawnictwo Delta",1,"Gry i zabawy"
171,Papieroplastyka,"Małgorzata Daszyńska",2,"Gry i zabawy"
172,"Porządek i przygoda - lekcje twórczości","Wydawnictwa szkolne i pedagogiczne",3,"Gry i zabawy"
173,"50 pomysłów","Diane James",1,"Gry i zabawy"
174,"Papier mache - sztuka tworzenia z masy papierowej","Marion Elliot",1,"Gry i zabawy"
175,"Papier mache - Cuda z papieru","Marion Elliot",1,"Gry i zabawy"
176,"Zabawy matematyczne","Bullah Ivan",1,"Gry i zabawy"
177,"Do dzieła; Drewno i korek","Anna Llimos Plomer",1,"Gry i zabawy"
178,"Do dzieła; Plastelina","Anna Llimos Plomer",1,"Gry i zabawy"
179,"Do dzieła; Glina","Anna Llimos Plomer",1,"Gry i zabawy"
180,"Do dzieła; Tektura","Anna Llimos Plomer",1,"Gry i zabawy"
181,"Sam/a wymyślam zabawy na podwórku","Barbara Broszkiewicz",1,"Gry i zabawy"
182,"Każde dziecko to potrafi - wesołe robótki na 4 pory roku","Wydawnictwo Delta",1,"Gry i zabawy"
183,"Leksykon gier planszowych","Erwin Glonnegger",1,"Gry i zabawy"
184,Origami,"Masakatsu Yoshida",1,"Gry i zabawy"
185,"Wesołe minuty - zeszyt 1, 2, 3","Irena Landu",3,"Gry i zabawy"
186,"Robimy eksperymenty","Sam Ed Brown",2,"Gry i zabawy"
187,"Ćwiczenia na inteligencje","Wydawnictwo Podsiedlik-Raniowski i spółka",1,"Gry i zabawy"
188,"Vademecum zrób sam","Krzysztow Chorzewski",1,"Gry i zabawy"
189,"Wielka księga labiryntów","Roger Moreau",1,"Gry i zabawy"
190,"Wielka księga gier, łamigłówek i humoru","Wydawnictwo Przegląd",1,"Gry i zabawy"
191,"Być przyjacielem i mieć przyjaciół","Alvyn i Margaret Freed",1,"Gry i zabawy"
192,"Pamięć wzrokowa 2","I.J. Matiugin",1,"Gry i zabawy"
193,"Geografia w grach i zabawach","Michał Augustyniak i Marek Zich",1,"Gry i zabawy"
194,"Sztuka jako zabawa i zabawa jako sztuka","Wiesław Karolak",1,"Gry i zabawy"
195,"Program edukacyjny - porządek i przygoda, lekcje twórczości",WSiP,3,"Gry i zabawy"
196,"Pracując razem","Bob Biagi",2,"Gry i zabawy"
197,"Gry i ćwiczenia grupowe","Małgorzata Bieniawska i Ewa Cassidy",2,"Gry i zabawy"
198,"W co się bawić","Chorągiew Łódzka ZHP",3,"Gry i zabawy"
199,"Jak namalować swoją mandalę",-,1,"Gry i zabawy"
200,"Mandale Literowe","George Bemmerlein",1,"Gry i zabawy"
201,"Przedszkolaki na scenie","Maria Majchrzak",1,"Gry i zabawy"
202,"Wielka Księga Papieroplastyki","Ala Stair Smith, Wydawnictwo Delta",1,"Gry i zabawy"
203,"Moja pierwsza książka - co i jak","Angela Wilkes",1,"Gry i zabawy"
204,"Mój mały świat","Wydawnictwo Żak",1,"Gry i zabawy"
205,"Zabawa w teatr","Zofia Wójcik",1,"Gry i zabawy"
206,"Jak tworzyć mandale",-,2,"Gry i zabawy"
207,"Magiczne trójkąty, czyli origami przestrzenne z trójkąta","Dorota Dziamska",1,"Gry i zabawy"
208,"Magiczne prostokąty, czyli origami przestrzenne z prostokąta","Dorota Dziamska",1,"Gry i zabawy"
209,"Mensa - Zadania i testy na inteligencję","Robert Allen",1,"Gry i zabawy"
210,"165 Łamigłówek - zagadki, labirynty, krzyżówki","Wydawnictwo Aksjomat",1,"Gry i zabawy"
211,"Zabawy na 102","Irena Kamińska",1,"Gry i zabawy"
212,"Przygoda ze sztuką, części od 25 do 50","Wydawnictwo Gefabbri Phoenix",1,"Gry i zabawy"
213,"Grupa i Ruch","Gusti Reichel",2,"Gry i zabawy"
214,"Ściegi Makramy","Jadwiga Turska",1,"Gry i zabawy"
215,"Warsztaty integracyjne dla młodzieży Razem","Witold Skrzypczyk",3,"Gry i zabawy"
216,"Czerwono czarni","Katarzyna Ambrożkiewicz",2,"Gry i zabawy"
217,"Zajęcia plastyczne w klasach 5-8","Janina Lewicka",1,"Gry i zabawy"
218,"12 ważnych emocji","Centrum edukacji harcerskiej",2,"Gry i zabawy"
219,"Jak robić kartki","Polli Pinder",1,"Gry i zabawy"
220,"Masa Solna","Isolde Kiskalt",1,"Gry i zabawy"
221,"Lalki z domowego teatrzyku","Marion Dawidowski",1,"Gry i zabawy"
222,"Grupa i zabawa","Wydawnictwo Klanza",15,"Gry i zabawy"
223,"Wileka księga żartów dziecięcych","Peter Coupe",1,"Gry i zabawy"
224,"Zabawy integracyjne cz. 6","Klaus W. Vopel",1,"Gry i zabawy"
225,"Na święto matki","Monika Michalska",1,"Gry i zabawy"
226,"Gry i zabawy dla dzieci młodzieży 4","Klaus W. Vopel",1,"Gry i zabawy"
227,"Gry i zabawy na powietrzu - Lato","Romuald Freyl",1,"Gry i zabawy"
228,"Zabawy z chustą","wydawnictwo Klanza",1,"Gry i zabawy"
229,"Kultura żywego słowa","Maciej Dobrosielski",2,"Gry i zabawy"
230,"Robimy kartki","Penny King",1,"Gry i zabawy"
231,"Robimy prezenty","Penny King",1,"Gry i zabawy"
232,"Małe co nieco","Judy Bastyra",2,"Gry i zabawy"
233,"Malujemy Się ","Jacqueline Russon",2,"Gry i zabawy"
234,"Krągły rok","Barbara Ogrodowska",1,"Gry i zabawy"
235,"Zabawy w naturze, na każdą porę roku","Rolph Patermann",2,"Gry i zabawy"
236,"ABC poprawnej wymowy - zabawy i ćwiczenia ","Barbara Góralczyka",3,"Gry i zabawy"
237,"Pożyteczna zima","Chorągiew Łódzka ZHP",4,"Gry i zabawy"
238,"Zimowe wakacje","Komitet organizacji wolnego czasu GKH",1,"Gry i zabawy"
239,"Zimowe harcowanie","Chorągiew Łódzka ZHP",2,"Gry i zabawy"
240,"Zima 81/82","Główna Kwatera",1,"Gry i zabawy"
241,"Harcerskie Gry i zabawy","Wojciech Śliwerski",4,"Gry i zabawy"
242,"Gry i zabawy w harcerskiej izbie","Agnieszka Janiec",5,"Gry i zabawy"
243,"Zabawy w lesie","Heike Baum",1,"Gry i zabawy"
244,"Czy wiecie jak to się plecie?","Centralna Szkoła Instruktorów Zuchowych ZHP",1,"Gry i zabawy"
245,"Harcerskie łamigłówki i zabawy logiczne","Grzegorz Całek",7,"Gry i zabawy"
246,"Tańce i zabawy dla grupy, KLANZA","Wydawnictwo Klanza",4,"Gry i zabawy"
247,"Bawimy się w...","Elżbieta Lubiewska",1,"Gry i zabawy"
248,"Zabawy i gry ruchowe na cztery pory roku - wiosna","Marian Bondarowicz",1,"Gry i zabawy"
249,"Co możesz zrobić ze sztucznych tworzyw","Centralna Szkoła Instruktorów Zuchowych ZHP",1,"Gry i zabawy"
250,Wiosna,"Stefan Wojtkiewicz",1,"Gry i zabawy"
251,"Wiosna - gry i zabawy zuchowe cz.2","Sławomir Rudziński",1,"Gry i zabawy"
252,"Zuchowe wyprawy po zdrowie","Główna Kwatera",1,"Gry i zabawy"
253,"Księga dobrych czarów",Horyzonty,1,"Gry i zabawy"
254,"Zabawy i gry rychpwe na cztery pory roku - zima","Marian Bondarowicz",1,"Gry i zabawy"
255,"Ty. Inni. W zespole","Bogusław i Wojciech Śliwierscy",3,"Gry i zabawy"
256,"Zamiast wykładów","Grzegorz Całek",4,"Gry i zabawy"
257,"Nasi ulubieńcy","Stefan Wojtkiewicz",2,"Gry i zabawy"
258,"Wesołe zawody","Janusz Michułowski",3,"Gry i zabawy"
259,"Zabawy na urodziny","Birgit Nawrath, Ericka Wecker",1,"Gry i zabawy"
260,"Gry, ćwiczenia i zabawy zuchów","Eugeniusz Pawłowski",1,"Gry i zabawy"
261,"Zabawy ruchowe ","Irene Flemming, Jurgen Fritz",4,"Gry i zabawy"
262,"Harcerskie gry i zabawy","Wojciech Śliwierski",2,"Gry i zabawy"
263,"Patykowy turniej","Urszula Pudo",1,"Gry i zabawy"
264,"Gry i ćwiczenia terenowe","R. Mańkowski, A. Martynkin",3,"Gry i zabawy"
265,"Zabawy na festyny dziecięce","Urlich Vohland",1,"Gry i zabawy"
266,"Gry rekreacyjne - sport dla wszystkich","Lucjan Chrostek, Marek Łabaj",1,"Gry i zabawy"
267,"Kiermasz rozmaitości","Ludmiła Pawlak",2,"Gry i zabawy"
268,"Zabawy dla grup","Josef Griesbeck",1,"Gry i zabawy"
269,"Zestaw gier z elementami terenoznawstwa","Poczta Harcerska Szczecin 2",2,"Specjalności i techniki harcerskie"
270,"Mój mały świat - scenariusze dla przedszkoli","Józef M. Śnieciński",1,"Gry i zabawy"
271,"Z notatnikiem i busolą - zbiór gier terenowych","Andrzej Kazanecki",5,"Specjalności i techniki harcerskie"
272,"Radość zabawy","Urlich Vohland",2,"Gry i zabawy"
273,"Gry i zabawy","Stefan Słysz",1,"Gry i zabawy"
274,"Zabawowe formy ćwiczeń gimnastycznych","Kazimierz Barański",1,"Gry i zabawy"
275,"Origami - formy podstawowe i nie tylko","",1,"Gry i zabawy"
276,"Zabawa na każdy dzień. 183 zabawy grupowe cz.1","Elio Giacone",1,"Gry i zabawy"
277,"Zabawa na każdy dzień. 152 zabawy grupowe cz.2","Elio Giacone",1,"Gry i zabawy"
278,"Bawimy się wszyscy cz.1","Johannes Halbig",2,"Gry i zabawy"
279,"Bawimy się wszyscy cz.2","Johannes Halbig",2,"Gry i zabawy"
280,"Bawimy się wszyscy cz.3","Johannes Halbig",1,"Gry i zabawy"
281,"Zabawy na spostrzeganie","Irene Flemming, Jurgen Fritz",1,"Gry i zabawy"
282,"Świat balonów","Paweł Elsztein",1,"Gry i zabawy"
283,"Główka pracuje","Stanisław Werner",1,"Gry i zabawy"
284,"Po rozum do głowy","Zdzisław Nowak",1,"Gry i zabawy"
285,"Zabawy i gry ruchowe dzieci i młodzieży","Eugeniusz Piasecki",1,"Gry i zabawy"
286,"Zabawy i gry ryuchowe","Marian Bondarowicz",1,"Gry i zabawy"
287,"W stronę sportu","Giuseppe Tondelli",1,"Gry i zabawy"
288,"Ćwiczmy sami","M. Czerewkow, W. Jakowlew",1,"Gry i zabawy"
289,"Przedszkolaki na scenie czyli rozbawione przedszkole","Maria Majchrzak",1,"Gry i zabawy"
290,"Biomedyczne podstawy rozwoju i wychowania cz.1","Zbigniew Bartkowiak",1,"Gry i zabawy"
291,"Bezpieczeństwo dzieci - scenariusze zajęć","Dorota Klus-Stańska",1,"Gry i zabawy"
292,"Gry i zabawy w placówkach wychowania pozaszkolnego","Aleksander Felistak",1,"Gry i zabawy"
293,"Igłą malowane","J. Turska",1,"Gry i zabawy"
294,"Gry z elementami terenoznawstwa","Alina Walasik",3,"Specjalności i techniki harcerskie"
295,"Terenoznawstwo dla harcerzy","Andrzej Kazanecki",7,"Specjalności i techniki harcerskie"
296,"Zrób sam małą szklarnię","H. J. Schiffer",1,"Gry i zabawy"
297,"100 gier ruchowych","Huberta Wiertsema",2,"Gry i zabawy"
298,"Imprezy na orientację - poradnik dla organizatorów","Jerzy Dymarski",3,"Specjalności i techniki harcerskie"
299,"100 nowych gier muzycznych","Ger Stroms",1,"Gry i zabawy"
300,"Grupa bawi się i pracuje cz.2","Jolanta Rojewska",1,"Gry i zabawy"
301,"Zabawy na świeżym powietrzu","Jozef Broich",1,"Gry i zabawy"
302,"Papierowy alfabet","Dorota Dziamska",1,"Gry i zabawy"
303,"Harcerz w polu","Zygmunt Wyrobek",4,"Specjalności i techniki harcerskie"
304,Latawce,"Andrzej Glass",3,"Gry i zabawy"
305,"Kubo ","Lech Pijanowski",1,"Gry i zabawy"
306,"Harce zimowe w polu","Juliusz Dąbrowski",1,"Gry i zabawy"
307,"Terenoznawstwo dla wszystkich","Marian Laprus",1,"Gry i zabawy"
308,"Sport w szczepie, drużynie, zastępie","Tadeusz Maszczak",1,"Gry i zabawy"
309,"Tropiciele - system pracy drużyn","B. Gajdeczkowa",1,"Gry i zabawy"
310,"Na spotkanie przyjaciołom","Barbara Domanska-Stankowska",1,"Specjalności i techniki harcerskie"
311,"Gry i zabawy na koloniach i zimowiskach","Stanisław Borowiecki, Maria Klimowa",4,"Obóz i kolonie"
312,"Harcerska kuchnia","Feliksa Starzyńska, Marianna Głowińska",1,"Obóz i kolonie"
313,"Wycieczki, biwaki, obozy, kolonie - turystyka szkolna, wypoczynek uczniów","Jerzy Gruszka",1,"Obóz i kolonie"
